,X1.5,X2,X2.5,X3,X3.5,X4,X4.5,X5
city,0.769230769,0.714285714,0.714285714,0.714285714,0.714285714,0.714285714,0.714285714,0.769230769
postal_code,0.595238095,0.595238095,0.650234742,0.595238095,0.608757062,0.677083333,0.595238095,0.574468085
RestaurantsReservations,0.615384615,0.638297872,0.732394366,0.689440994,0.733050847,0.875,0.615384615,0.638297872
RestaurantsPriceRange2,0.634615385,0.680851064,0.788732394,0.785714286,0.737288136,0.53125,0.634615385,0.680851064
BusinessAcceptsCreditCards,0.519230769,0.531914894,0.521126761,0.534161491,0.542372881,0.625,0.519230769,0.531914894
OutdoorSeating,0.807692308,0.893617021,0.915492958,0.953416149,0.944915254,0.90625,0.785714286,0.893617021
BikeParking,0.619047619,0.619047619,0.619047619,0.619047619,0.619047619,0.619047619,0.619047619,0.615384615
RestaurantsTakeOut,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333
HasTV,0.615384615,0.627659574,0.697183099,0.695652174,0.838983051,0.90625,0.571428571,0.627659574
RestaurantsGoodForGroups,0.608974359,0.595238095,0.595238095,0.595238095,0.595238095,0.614583333,0.595238095,0.608974359
DogsAllowed,0.519230769,0.5,0.549295775,0.621118012,0.546610169,0.59375,0.519230769,0.519230769
RestaurantsTableService,0.642857143,0.642857143,0.642857143,0.642857143,0.642857143,0.642857143,0.642857143,0.576923077
GoodForDancing,0.5,0.521276596,0.528169014,0.549689441,0.559322034,0.5,0.5,0.521276596
CoatCheck,0.557692308,0.531914894,0.528169014,0.571428571,0.563559322,0.59375,0.557692308,0.557692308
GoodForKids,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.628205128
Caters,0.788461538,0.785714286,0.785714286,0.785714286,0.855932203,0.90625,0.785714286,0.788461538
WheelchairAccessible,0.576923077,0.606382979,0.647887324,0.742236025,0.792372881,0.78125,0.571428571,0.606382979
HappyHour,0.519230769,0.521276596,0.591549296,0.50310559,0.550847458,0.5625,0.519230769,0.521276596
RestaurantsDelivery,0.538461538,0.734042553,0.746478873,0.717391304,0.716101695,0.875,0.538461538,0.734042553
BYOB,0.5,0.531914894,0.535211268,0.546583851,0.588983051,0.53125,0.5,0.531914894
BusinessAcceptsBitcoin,0.571428571,0.571428571,0.584507042,0.633540373,0.68220339,0.625,0.571428571,0.542553191
DriveThru,0.737179487,0.794326241,0.819248826,0.82194617,0.850282486,0.84375,0.666666667,0.794326241
ByAppointmentOnly,0.538461538,0.542553191,0.535211268,0.577639752,0.605932203,0.5,0.538461538,0.542553191
Corkage,0.538461538,0.510638298,0.507042254,0.531055901,0.529661017,0.53125,0.538461538,0.538461538
Open24Hours,0.5,0.5,0.5,0.50310559,0.5,0.5,0.5,0.5
RestaurantsCounterService,0.5,0.5,0.5,0.50310559,0.5,0.5,0.5,0.5
BusinessParking_garage,0.571428571,0.606382979,0.598591549,0.580745342,0.669491525,0.625,0.571428571,0.606382979
BusinessParking_street,0.653846154,0.734042553,0.802816901,0.835403727,0.851694915,0.8125,0.642857143,0.734042553
BusinessParking_validated,0.571428571,0.617021277,0.571428571,0.571428571,0.571428571,0.59375,0.571428571,0.617021277
BusinessParking_lot,0.547619048,0.547619048,0.547619048,0.569358178,0.593220339,0.552083333,0.598901099,0.538461538
BusinessParking_valet,0.519230769,0.563829787,0.549295775,0.549689441,0.572033898,0.59375,0.519230769,0.563829787
Ambience_touristy,0.596153846,0.712765957,0.633802817,0.611801242,0.656779661,0.875,0.571428571,0.712765957
Ambience_hipster,0.571428571,0.627659574,0.591549296,0.627329193,0.68220339,0.875,0.571428571,0.627659574
Ambience_romantic,0.571428571,0.659574468,0.605633803,0.611801242,0.652542373,0.90625,0.571428571,0.659574468
Ambience_divey,0.571428571,0.670212766,0.584507042,0.627329193,0.661016949,0.875,0.571428571,0.670212766
Ambience_intimate,0.571428571,0.64893617,0.612676056,0.608695652,0.677966102,0.875,0.571428571,0.64893617
Ambience_trendy,0.576923077,0.680851064,0.647887324,0.658385093,0.724576271,0.90625,0.571428571,0.680851064
Ambience_upscale,0.571428571,0.638297872,0.577464789,0.583850932,0.63559322,0.875,0.571428571,0.638297872
Ambience_classy,0.596153846,0.638297872,0.725352113,0.726708075,0.822033898,0.9375,0.571428571,0.638297872
Ambience_casual,0.788461538,0.925531915,0.922535211,0.906832298,0.872881356,0.90625,0.714285714,0.925531915
BestNights_monday,0.519230769,0.521276596,0.535211268,0.546583851,0.563559322,0.5625,0.519230769,0.521276596
BestNights_tuesday,0.519230769,0.5,0.549295775,0.571428571,0.546610169,0.5625,0.519230769,0.519230769
BestNights_friday,0.519230769,0.5,0.507042254,0.50310559,0.512711864,0.5625,0.519230769,0.519230769
BestNights_wednesday,0.519230769,0.5,0.535211268,0.559006211,0.563559322,0.5625,0.519230769,0.519230769
BestNights_thursday,0.519230769,0.5,0.507042254,0.540372671,0.538135593,0.5,0.519230769,0.519230769
BestNights_sunday,0.519230769,0.521276596,0.535211268,0.559006211,0.529661017,0.5625,0.519230769,0.521276596
BestNights_saturday,0.519230769,0.521276596,0.507042254,0.50931677,0.504237288,0.5625,0.519230769,0.521276596
GoodForMeal_dessert,0.523809524,0.553191489,0.530516432,0.537267081,0.603107345,0.770833333,0.53021978,0.553191489
GoodForMeal_latenight,0.557692308,0.535460993,0.523809524,0.523809524,0.579096045,0.770833333,0.57967033,0.557692308
GoodForMeal_lunch,0.547619048,0.578014184,0.607981221,0.609730849,0.59039548,0.547619048,0.557692308,0.578014184
GoodForMeal_dinner,0.679487179,0.744680851,0.711267606,0.779503106,0.75,0.78125,0.666666667,0.744680851
GoodForMeal_brunch,0.523809524,0.595744681,0.5657277,0.610766046,0.675141243,0.770833333,0.541208791,0.595744681
GoodForMeal_breakfast,0.571428571,0.585106383,0.571428571,0.640786749,0.653954802,0.770833333,0.571428571,0.585106383
Music_dj,0.519230769,0.521276596,0.535211268,0.571428571,0.559322034,0.53125,0.519230769,0.521276596
Music_background_music,0.519230769,0.510638298,0.549295775,0.577639752,0.559322034,0.5625,0.519230769,0.519230769
Music_no_music,0.519230769,0.510638298,0.549295775,0.577639752,0.56779661,0.5625,0.519230769,0.519230769
Music_jukebox,0.519230769,0.510638298,0.542253521,0.549689441,0.559322034,0.53125,0.519230769,0.519230769
Music_live,0.519230769,0.510638298,0.5,0.552795031,0.546610169,0.5,0.519230769,0.519230769
Music_video,0.519230769,0.510638298,0.549295775,0.577639752,0.56779661,0.5625,0.519230769,0.519230769
Music_karaoke,0.519230769,0.5,0.542253521,0.552795031,0.533898305,0.53125,0.519230769,0.519230769
AgesAllowed_u.21plus.,0.5,0.5,0.507042254,0.5,0.5,0.5,0.5,0.5
AgesAllowed_u.allages.,0.5,0.5,0.507042254,0.5,0.5,0.5,0.5,0.5
Alcohol_.beer_and_wine.,0.5,0.542553191,0.521126761,0.549689441,0.529661017,0.5,0.5,0.542553191
Alcohol_.full_bar.,0.5,0.521276596,0.542253521,0.52484472,0.512711864,0.5,0.5,0.521276596
Alcohol_.none.,0.570512821,0.645390071,0.617370892,0.644927536,0.645480226,0.666666667,0.546703297,0.645390071
Alcohol_u.beer_and_wine.,0.642857143,0.642857143,0.642857143,0.670807453,0.661016949,0.71875,0.642857143,0.627659574
Alcohol_u.full_bar.,0.538461538,0.531914894,0.612676056,0.602484472,0.555084746,0.53125,0.538461538,0.538461538
Alcohol_u.none.,0.619047619,0.716312057,0.734741784,0.737060041,0.72740113,0.770833333,0.619047619,0.716312057
BYOBCorkage_.no.,0.5,0.5,0.528169014,0.51552795,0.508474576,0.5,0.5,0.5
BYOBCorkage_.yes_corkage.,0.5,0.5,0.507042254,0.50931677,0.504237288,0.5,0.5,0.5
BYOBCorkage_.yes_free.,0.538461538,0.5,0.528169014,0.52484472,0.5,0.5,0.538461538,0.538461538
NoiseLevel_.average.,0.608974359,0.602836879,0.638497653,0.610766046,0.620056497,0.666666667,0.595238095,0.608974359
NoiseLevel_.loud.,0.5,0.510638298,0.507042254,0.50310559,0.5,0.5,0.5,0.510638298
NoiseLevel_.quiet.,0.571428571,0.571428571,0.571428571,0.571428571,0.571428571,0.571428571,0.571428571,0.519230769
NoiseLevel_u.average.,0.583333333,0.556737589,0.650234742,0.65942029,0.566384181,0.572916667,0.547619048,0.583333333
NoiseLevel_u.loud.,0.666666667,0.624113475,0.645539906,0.641821946,0.649717514,0.666666667,0.642857143,0.666666667
NoiseLevel_u.quiet.,0.576923077,0.521276596,0.514084507,0.52484472,0.550847458,0.53125,0.576923077,0.576923077
NoiseLevel_u.very_loud.,0.519230769,0.5,0.5,0.5,0.5,0.5,0.519230769,0.519230769
RestaurantsAttire_.casual.,0.69047619,0.69047619,0.69047619,0.69047619,0.697740113,0.802083333,0.69047619,0.65248227
RestaurantsAttire_u.casual.,0.69047619,0.69047619,0.69047619,0.69047619,0.69047619,0.69047619,0.69047619,0.567375887
RestaurantsAttire_u.dressy.,0.5,0.5,0.5,0.50931677,0.516949153,0.5,0.5,0.5
Smoking_None,0.5,0.5,0.5,0.50310559,0.5,0.5,0.5,0.5
Smoking_u.no.,0.5,0.510638298,0.535211268,0.568322981,0.538135593,0.625,0.5,0.510638298
Smoking_u.outdoor.,0.5,0.5,0.5,0.50931677,0.508474576,0.5,0.5,0.5
WiFi_.free.,0.642857143,0.642857143,0.642857143,0.642857143,0.642857143,0.642857143,0.642857143,0.563829787
WiFi_.no.,0.523809524,0.581560284,0.589201878,0.635610766,0.615819209,0.666666667,0.523809524,0.581560284
WiFi_u.free.,0.615384615,0.691489362,0.669014085,0.673913043,0.711864407,0.6875,0.571428571,0.691489362
WiFi_u.no.,0.717948718,0.737588652,0.69047619,0.69047619,0.701977401,0.69047619,0.69047619,0.737588652
WiFi_u.paid.,0.5,0.5,0.507042254,0.5,0.5,0.5,0.5,0.5
Type,0.641025641,0.663120567,0.624413146,0.609730849,0.665254237,0.864583333,0.637362637,0.663120567
hours_per_week_y,0.571428571,0.571428571,0.598591549,0.585921325,0.629943503,0.729166667,0.571428571,0.525641026
