"","X.1","X","business_id","city","postal_code","stars","review_count","Type","hours_per_week","weight"
"1",1,0,"-3AooxIkg38UyUdlz5oXdw","Santa Barbara",93101,"3",436,"Italian",69.9,1.77634611545651
"2",2,7,"-BdYhP-12elmFV7oB1iv4A","Santa Barbara",93109,"5",41,"American",45,0.167041721866323
"3",3,14,"-nwNPb3G-0L95igrhkvMtw","Santa Barbara",93101,"2.5",46,"Fast Food",67.9,0.187412663557338
"4",4,21,"-r6nmLB5Vi2TLQCxh0_dtw","Santa Barbara",93101,"4",215,"Deli",42,0.875950492713645
"5",5,28,"04Ss49U_QKYLotcJMAH8cA","Santa Barbara",93101,"4",97,"Deli",56,0.395196268805691
"6",6,35,"06pNHtxgPhGhZpM0Z2uzNw","Goleta",93117,"3.5",550,"American",57.4,2.24080358601165
"7",7,42,"0RxU5OglQyPVtLKC1LPgsA","Santa Barbara",93108,"4.5",497,"Bakery",40,2.02487160408689
"8",8,49,"0ac5lGA_0wdKDnib3y59Xg","Santa Barbara",93101,"4",434,"Mexican",56,1.7681977387801
"9",9,56,"0c28ysQJ_M1fVToTFV-FWQ","Santa Barbara",93101,"4",44,"American",32,0.179264286880932
"10",10,63,"0cWnURpfrb4MqKSzyVN4SQ","Santa Barbara",93109,"4",152,"Mexican",21.65,0.619276627406856
"11",11,70,"0iLgVQpBeIYYwQZIblTTVw","Santa Barbara",93110,"4",10,"Bakery",57.5,0.04074188338203
"12",12,77,"0it-2gWk_gyuZyEMQzBBuQ","Carpinteria",93013,"4",230,"American",58.2,0.93706331778669
"13",13,84,"0mUVD5sDXZjd66XwATN8XA","Goleta",93117,"4",103,"Coffee",54,0.419641398834909
"14",14,91,"0qu0fNTOsSmuREYVIMPuIQ","Santa Barbara",93105,"4.5",1018,"American",32.8,4.14752372829066
"15",15,98,"12Gc4OFQ-WAW0fAk2hRZuQ","Santa Barbara",93105,"5",25,"Bakery",1,0.101854708455075
"16",16,105,"1Du1NruqJwxnzgEUHc42Jw","Santa Barbara",93105,"4.5",208,"Breakfast",43.8,0.847431174346224
"17",17,112,"1FURjeGJi_LBXcJQg8eskw","Carpinteria",93013,"4.5",885,"American",51.2,3.60565667930966
"18",18,119,"1J0NIfmrSuV72KzhmYFxMA","Montecito",93108,"4",77,"Italian",28,0.313712502041631
"19",19,126,"1U8Kt44FIkC7RnJsNjaMTA","Santa Barbara",93101,"4.5",34,"Japanese",22.9,0.138522403498902
"20",20,133,"1kVnChI4aqsPw9i2PVqkkw","Santa Barbara",93105,"4",278,"American",54,1.13262435802043
"21",21,140,"1l4-uhraQzNiRjppKyMUUQ","Goleta",93117,"4.5",117,"Bakery",31.4,0.476680035569751
"22",22,147,"1lwulkAD5htni3rbHW8oeg","Santa Barbara",93109,"3",11,"Fast Food",90.8,0.044816071720233
"23",23,154,"23OxrUaCvvVrwSa1z3xG-w","Santa Barbara",93101,"4.5",128,"Bakery",28.5,0.521496107289984
"24",24,161,"27zlxlmlQu9KBr5Vj4MGeg","Goleta",93117,"4.5",790,"Deli",49,3.21860878718037
"25",25,168,"29t8lDBLiwkEd1HA356dOw","Goleta",93117,"4",386,"Deli",53.9,1.57263669854636
"26",26,175,"2MWEEuY3dtD2DNP99sNe_A","Goleta",93117,"4.5",77,"Mexican",13,0.313712502041631
"27",27,182,"2N9WHETHcYJsfYpHQ-qN_A","Goleta",93111,"3.5",156,"Bakery",56,0.635573380759668
"28",28,189,"2QaNH5-RCRNIkToUOBc22Q","Santa Barbara",93105,"4",26,"Mexican",58,0.105928896793278
"29",29,196,"2Y0L3Hf6U-76jGvviKy5pA","Carpinteria",93013,"3",115,"Mexican",61,0.468531658893345
"30",30,203,"2YnQAJdeFrcgPa8MqIYcDg","Santa Barbara",93111,"3.5",294,"American",56,1.19781137143168
"31",31,210,"2aP9wvEqpGLLDVpWTWlAog","Carpinteria",93013,"4.5",130,"Bakery",88.2,0.52964448396639
"32",32,217,"2bxZhBk8JZkJ1GqfTB0cUQ","Santa Barbara",93101,"3.5",287,"Italian",70,1.16929205306426
"33",33,224,"2h3SEwpI6fiuTF9mcN1S_Q","Santa Barbara",93101,"4",86,"Mexican",101.5,0.350380197085458
"34",34,231,"2l-spLLGUzRiZg8dF623Nw","Santa Barbara",93101,"4",144,"American",51,0.586683120701232
"35",35,238,"2nF2syYoD5VBFk01le6NkA","Santa Barbara",93108,"4.5",31,"Deli",33.5,0.126299838484293
"36",36,245,"2pBNVsJo3a3CPbInUu9lvQ","Santa Barbara",93101,"3",134,"Fast Food",74,0.545941237319202
"37",37,252,"2swMZVA832zkmdPBrddPRQ","Goleta",93117,"4.5",233,"Healthy",63,0.949285882801299
"38",38,259,"2xxkaRy7rP5EUyjFt2J5kA","Goleta",93117,"4.5",562,"Japanese",25.8,2.28969384607009
"39",39,266,"34Eqv8jXgxg_EEwcsNgeeg","Santa Barbara",93101,"4",659,"Healthy",63,2.68489011487578
"40",40,273,"3VrqxApK-iwfRohlAuIt0g","Goleta",93117,"4",113,"Breakfast",49.5,0.460383282216939
"41",41,280,"3fpAmsSuEFNF29UUPpgwlw","Santa Barbara",93105,"4.5",292,"Bakery",80,1.18966299475528
"42",42,287,"3tvi-OJ_-iK1ecjzSaH-oA","Santa Barbara",93101,"4.5",217,"Bakery",54,0.884098869390051
"43",43,294,"3xJ_6qxRA0sdUm3ThCPiCw","Carpinteria",93013,"4",271,"Italian",19.8,1.10410503965301
"44",44,301,"425FOxIzHPcOB0niWc6-1w","Santa Barbara",93101,"3.5",100,"Bakery",21,0.4074188338203
"45",45,308,"45D7B9CqiUTTPUFcqmLx5Q","Santa Barbara",93105,"4.5",263,"American",36.8,1.07151153294739
"46",46,315,"45Ut-AN8h3c88-pYTrGBnA","Goleta",93117,"4",155,"Japanese",75,0.631499192421465
"47",47,322,"49Sy1N3MTnK6Eslh1tgZQQ","Santa Barbara",93101,"3.5",12,"American",8,0.048890260058436
"48",48,329,"4D7QDfPOsSPfKxBi3gs_qQ","Santa Barbara",93101,"4",622,"Pizza",30.9,2.53414514636227
"49",49,336,"4FdsX3MbkcdBRAr1aymF6A","Santa Barbara",93101,"4.5",77,"Mexican",26,0.313712502041631
"50",50,343,"4IqrY1mXK65HgrrgkpE-cw","Montecito",93108,"4.5",84,"Japanese",22,0.342231820409052
"51",51,350,"4VW4_ghjdYw0Wl40Voa9cw","Carpinteria",93013,"3.5",236,"Mexican",73.7,0.961508447815908
"52",52,357,"54oLdsGU9B8HxFTqCCqV-A","Santa Barbara",93105,"4.5",589,"Italian",82.2,2.39969693120157
"53",53,364,"5Z3uvoIoOFUzTmrBmIJv2g","Santa Barbara",93101,"3",37,"Deli",15,0.150744968513511
"54",54,371,"5tkZfqkwx6axbN9P5UlC8w","Carpinteria",93013,"2.5",32,"Fast Food",90.9,0.130374026822496
"55",55,378,"5vIfUavd23X3lBzjnnc4QA","Santa Barbara",93103,"3",21,"Bakery",0,0.085557955102263
"56",56,385,"5vObJIHLO-QOMrw_MvC4rA","Carpinteria",93013,"4",828,"Breakfast",36,3.37342794403209
"57",57,392,"6EizP0XyqITuGZ8GZMI9Lw","Santa Barbara",93101,"4.5",1084,"Italian",30,4.41642015861205
"58",58,399,"6HTGlttrzCMsuGBHO1ZGiw","Santa Barbara",93101,"4.5",405,"American",20.6,1.65004627697222
"59",59,406,"6RBZfirnzE4NahJTn1UPNA","Santa Barbara",93103,"4",1759,"Mexican",70,7.16649728689908
"60",60,413,"6RBrYMiAf8jFJI4fDoQpcw","Santa Barbara",93106,"3",6,"Mexican",91.8,0.024445130029218
"61",61,420,"6TciI6uBdrd8z1av1YleLg","Goleta",93117,"3.5",198,"Mexican",64,0.806689290964194
"62",62,427,"6VVbLYay8czrjKJ4xRoTxQ","Santa Barbara",93101,"4.5",110,"Breakfast",53.9,0.44816071720233
"63",63,434,"6kPHr6gZaU9732ptn9gJrA","Goleta",93117,"4",128,"Mexican",112,0.521496107289984
"64",64,441,"6smGb7xv5fDbBsLgW1WC2w","Santa Barbara",93105,"3.5",185,"Japanese",33.6,0.753724842567555
"65",65,448,"7IdIGemGZodDAA_9mJCigA","Santa Barbara",93105,"4",255,"Fast Food",42,1.03891802624177
"66",66,455,"7oPREWTlY8RIMfwT1R0YYw","Santa Barbara",93109,"4",70,"American",43.5,0.28519318367421
"67",67,462,"7wSnkgOORRCqVDa_n8Upxg","Santa Barbara",93105,"4",510,"American",37.4,2.07783605248353
"68",68,469,"7wcHZ80HLJVwUijAH_efJQ","Santa Barbara",93109,"3.5",212,"American",53.45,0.863727927699036
"69",69,476,"8JzURExziDYuCrd7Ve9nDQ","Santa Barbara",93101,"4.5",44,"Bakery",89,0.179264286880932
"70",70,483,"8Lbz0hfE4MWzd7yDu9atBA","Santa Barbara",93101,"5",146,"American",16,0.594831497377638
"71",71,490,"8MoqZqlNN9AXzG91_Hpc_Q","Santa Barbara",93101,"4",289,"American",65.1,1.17744042974067
"72",72,497,"8Vo6LN9gqULhXzoxj5k6kQ","Santa Barbara",93101,"4.5",983,"Japanese",22.3,4.00492713645355
"73",73,504,"8_r9EZL6vX5fPBoVh3gUrA","Santa Barbara",93101,"4",318,"Mexican",56,1.29559189154855
"74",74,511,"8qGe4GQYyZstFhYa0rvpIg","Goleta",93117,"2",58,"Fast Food",35,0.236302923615774
"75",75,518,"8r_n8JdKQ0gePm2neSkL7A","Goleta",93117,"3",223,"Japanese",60.6,0.908543999419269
"76",76,525,"92Z2WFvC86Qy3TOI-oBGVg","Carpinteria",93013,"4",26,"Mexican",112,0.105928896793278
"77",77,532,"95NWdx75Gwy4r_IGGuCnmQ","Carpinteria",93013,"4",25,"Healthy",62,0.101854708455075
"78",78,539,"9kfN12wVGnKo54AaRjz0vQ","Carpinteria",93013,"4.5",179,"Italian",54,0.729279712538337
"79",79,546,"9ugpNKKhnYRa51qXoxUw_A","Santa Barbara",93101,"4.5",1219,"Mexican",55,4.96643558426946
"80",80,553,"9xW7LsJpyhVZFRb6z9xorg","Goleta",93117,"4",172,"Italian",38,0.700760394170916
"81",81,560,"A263bVzMdU_-TIMhewOrjQ","Goleta",93117,"4",252,"Breakfast",56,1.02669546122716
"82",82,567,"A2slwG21Uulatt357w58PA","Isla Vista",93117,"4",98,"Coffee",46,0.399270457143894
"83",83,574,"AFZTm786brtTbEc5yYBgfA","Carpinteria",93013,"4",111,"Mexican",78,0.452234905540533
"84",84,581,"AQw0B8j9QV1RkFLLFiwkuw","Carpinteria",93013,"4",329,"Breakfast",38.4,1.34040796326879
"85",85,588,"AXC__4yZrn-N3BT7-2bV_Q","Santa Barbara",93101,"4",104,"American",75,0.423715587173112
"86",86,595,"AgVekFXqwt4Y1HxfQcpyiw","Carpinteria",93013,"4",144,"Deli",34.2,0.586683120701232
"87",87,602,"Ak4vFqHZUWU5KXONRnuieQ","Santa Barbara",93103,"4",166,"Mexican",86,0.676315264141698
"88",88,609,"Ak_vHsHsYRP928VHVRL_tQ","Goleta",93117,"2.5",76,"Fast Food",80.2,0.309638313703428
"89",89,616,"AmAc0eD6lyVyb7QdOAO1Mg","Santa Barbara",93101,"3.5",138,"American",51.4,0.562237990672014
"90",90,623,"AzZqXglv_puXwd4kCvM7ew","Santa Barbara",93101,"4",96,"Mexican",91,0.391122080467488
"91",91,630,"BErYojCJSO959vzaz9JclQ","Santa Barbara",93101,"4.5",571,"Deli",52.2,2.32636154111391
"92",92,637,"BEzvmorW8ILha6tcSxBBwA","Santa Barbara",93110,"4.5",69,"Pizza",40,0.281118995336007
"93",93,644,"BHZZFNH4wu5VAq_JypqjiQ","Montecito",93108,"3.5",67,"Italian",40,0.272970618659601
"94",94,651,"BQv7ntaOxs80FJAji2U9pg","Santa Barbara",93105,"3.5",337,"American",70,1.37300146997441
"95",95,658,"BVzFvRrgMpL62oPIqGvLMg","Goleta",93111,"4.5",347,"Deli",40,1.41374335335644
"96",96,665,"BaWVwChTW_MqkKru_WZp3g","Santa Barbara",93101,"4",276,"Mexican",112,1.12447598134403
"97",97,672,"BttSAciQNIQhgJCv3-FYpw","Carpinteria",93013,"4",84,"Deli",63,0.342231820409052
"98",98,679,"C-aATB7SbuwMBPN5dgjghQ","Santa Barbara",93105,"3",127,"Pizza",64,0.517421918951781
"99",99,686,"C-zgOpqD2K0xDJU4ty7zKg","Santa Barbara",93108,"4.5",57,"Coffee",74,0.232228735277571
"100",100,693,"C6AiAF35zwpAoK5jjm-nhA","Santa Barbara",93108,"3.5",37,"Coffee",49.8,0.150744968513511
"101",101,700,"COSC9JC0Vjr89CaTZuPkUA","Santa Barbara",93101,"4",477,"Japanese",38,1.94338783732283
"102",102,707,"CTmAWi-W8_Id00EjHF5Uwg","Carpinteria",93013,"3.5",131,"Pizza",66,0.533718672304593
"103",103,714,"CYwC5OjwCN6ib_AQDxi3Ow","Goleta",93111,"4",228,"Fast Food",72.6,0.928914941110284
"104",104,721,"Ce6B2-CYAjGvRZe3GKyxYA","Santa Barbara",93101,"3",124,"Pizza",64,0.505199353937172
"105",105,728,"CkENBnSJFfPA1hY0qrqfCg","Santa Barbara",93101,"3.5",731,"Mexican",66,2.97823167522639
"106",106,735,"CoZ2mpsMBP8HUG1ymKoZTg","Santa Barbara",93101,"4",954,"Italian",30,3.88677567464566
"107",107,742,"CuRjZOmfnXjefwEpyzmTTw","Santa Barbara",93101,"5",60,"Pizza",68.7,0.24445130029218
"108",108,749,"CziOtnFSklimJnBgksDDwA","Santa Barbara",93101,"3.5",1069,"Italian",57.4,4.35530733353901
"109",109,756,"D5n8XvQqC_vzOCi63wNChQ","Truckee",96161,"5",26,"Deli",86,0.105928896793278
"110",110,763,"DBtNuEt5U_dXoalpU8rbcQ","Goleta",93117,"4",198,"American",28.1,0.806689290964194
"111",111,770,"DOfiulOub9hVPBCtiDl9Fw","Santa Barbara",93101,"4",643,"Pizza",62,2.61970310146453
"112",112,777,"DV0BJwh9qzPqcxufrA_7ag","Santa Barbara",93103,"3",33,"Deli",69.8,0.134448215160699
"113",113,784,"D_WS8rM-DVygaCKbIErZ6Q","Santa Barbara",93110,"4",232,"Mexican",79,0.945211694463096
"114",114,791,"DqVpNtgFCP47n6frh-LREA","Santa Barbara",93101,"3.5",262,"Mexican",34.7,1.06743734460919
"115",115,798,"DzpaiMQnB_sNhZPrgdvKHg","Goleta",93117,"3.5",163,"Japanese",54,0.664092699127089
"116",116,805,"E1R-xslwl7XeTN5lQ7mWPg","Santa Barbara",93101,"4.5",272,"American",24.6,1.10817922799122
"117",117,812,"E1b_hNr22N2wGkq5Z9fmHw","Santa Barbara",93108,"3.5",21,"Healthy",52.8,0.085557955102263
"118",118,819,"E3WUDYEvCVMplIFMgeN1xw","Santa Barbara",93101,"4",519,"Breakfast",42,2.11450374752736
"119",119,826,"E8tiSAB6O4TPeVdKR0K5Ug","Santa Barbara",93103,"3",89,"Pizza",64,0.362602762100067
"120",120,833,"EBuSqlpzzyfZZkEgPxVV1Q","Santa Barbara",93105,"3",36,"American",77,0.146670780175308
"121",121,840,"EEwmN2uP1PmOyxpTstSIxA","Santa Barbara",93101,"4.5",40,"Bakery",23,0.16296753352812
"122",122,847,"EPkF-beh6gg_s3HtlAdfiw","Goleta",93117,"4",468,"Japanese",21.5,1.906720142279
"123",123,854,"EUzWWnvcx1pkkWxk2XV6QA","Isla Vista",93117,"4",59,"Fast Food",65,0.240377111953977
"124",124,861,"EXYbKA1tocvOK_1tXxZXLA","Santa Barbara",93109,"3.5",178,"Japanese",56,0.725205524200134
"125",125,868,"EZc2myE2mYk2h9JK9qu8gw","Santa Barbara",93101,"4.5",1047,"American",67,4.26567519009854
"126",126,875,"E_ac8Q20OJD9L8cafCBKaQ","Santa Barbara",93101,"4",534,"American",28,2.1756165726004
"127",127,882,"EoLzj1yciIjEZS9ZEJe_kQ","Santa Barbara",93101,"3",85,"American",54,0.346306008747255
"128",128,889,"EtM079Cj7-B3G7jPsGYb_Q","Santa Barbara",93101,"3.5",1546,"Mexican",65.1,6.29869517086184
"129",129,896,"EzhRlsTdACV60rOgrGYyqA","Santa Barbara",93101,"3",98,"Breakfast",71,0.399270457143894
"130",130,903,"F6KHs4GDw_9tpuv65M6PGA","Goleta",93117,"3.5",187,"Deli",28,0.761873219243961
"131",131,910,"FAc2Mv92KL00cbLdpAc0kQ","Carpinteria",93013,"3",195,"Pizza",71,0.794466725949585
"132",132,917,"FE5R_F7svUphKeUWuxA0JA","Santa Barbara",93111,"4",206,"Mexican",84,0.839282797669818
"133",133,924,"FEBwxZMEpxRwVXx9Fm0XZw","Santa Barbara",93101,"4",1268,"Breakfast",51.1,5.16607081284141
"134",134,931,"FH0MVF7kK0D76Hh4e7hXfQ","Santa Barbara",93105,"4",575,"Bakery",30,2.34265829446673
"135",135,938,"FTFaEinJgzqY0ZHQMUSpQQ","Santa Barbara",93101,"3.5",696,"American",52,2.83563508338929
"136",136,945,"FY_FkUeQxVqAjc9V0IAc2Q","Goleta",93117,"4.5",96,"Healthy",84,0.391122080467488
"137",137,952,"FdoqtMadj4ybDAL7S-yUBQ","Summerland",93067,"4",663,"American",51,2.70118686822859
"138",138,959,"Fg68C3AwFu74dXMhgX3qIw","Santa Barbara",93103,"3.5",18,"Fast Food",105,0.073335390087654
"139",139,966,"FjVAwrTr0AMfs78pDLamtA","Goleta",93117,"2.5",17,"Deli",102,0.069261201749451
"140",140,973,"GEGTsaKaO1R9fFB4sGS5qw","Goleta",93117,"4.5",10,"Mexican",19.1,0.04074188338203
"141",141,980,"GUuLWkqfieTDwORs8z8mDg","Goleta",93118,"3.5",15,"American",49.25,0.061112825073045
"142",142,987,"Gg2ZHe57Ztuv8JaFj0mNhw","Isla Vista",93117,"4.5",333,"American",77,1.3567047166216
"143",143,994,"Gl3XO4ECKKli8-bKKdkkYA","Santa Barbara",93103,"2",36,"Fast Food",70,0.146670780175308
"144",144,1001,"GtrY5U_M1ac3bYCk0DUeIg","Santa Barbara",93101,"4.5",244,"Deli",29.2,0.994101954521532
"145",145,1008,"GuzbBFraIq-fbkjfvaTRvg","Santa Barbara",93109,"4.5",1796,"Healthy",60,7.31724225541259
"146",146,1015,"GwtVBqKzW9j0zNQ7nYnT5g","Santa Barbara",93101,"3.5",115,"Healthy",57,0.468531658893345
"147",147,1022,"Gz3vi3dVKMylBb8HV1tP8Q","Santa Barbara",93108,"3.5",68,"Healthy",84,0.277044806997804
"148",148,1029,"HE-9l_2RSingLV2RZItdsA","Goleta",93117,"4",204,"Bakery",65.5,0.831134420993412
"149",149,1036,"HNACff49-kXS7l0MyLOzHw","Santa Barbara",93111,"2.5",48,"Pizza",69,0.195561040233744
"150",150,1043,"HOXbILWYZJkNUYYzYK_tZA","Santa Barbara",93101,"4",291,"Italian",28,1.18558880641707
"151",151,1050,"Hl_vXTiYLozWo7T9Cq17vw","Santa Barbara",93101,"5",47,"Italian",18.8,0.191486851895541
